penguin_id,species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
1,Adelie,Torgersen,male,2007,39.1,18.7,181.0,3750.0
2,Adelie,Torgersen,female,2007,39.5,17.4,186.0,3800.0
3,Adelie,Torgersen,female,2007,40.3,18.0,195.0,3250.0
4,Adelie,Torgersen,female,2007,36.7,19.3,193.0,3450.0
5,Adelie,Torgersen,male,2007,39.3,20.6,190.0,3650.0
6,Adelie,Torgersen,female,2007,38.9,17.8,181.0,3625.0
7,Adelie,Torgersen,male,2007,39.2,19.6,195.0,4675.0
8,Adelie,Torgersen,female,2007,41.1,17.6,182.0,3200.0
9,Adelie,Torgersen,male,2007,38.6,21.2,191.0,3800.0
10,Adelie,Torgersen,male,2007,34.6,21.1,198.0,4400.0
11,Adelie,Torgersen,female,2007,36.6,17.8,185.0,3700.0
12,Adelie,Torgersen,female,2007,38.7,19.0,195.0,3450.0
13,Adelie,Torgersen,male,2007,42.5,20.7,197.0,4500.0
14,Adelie,Torgersen,female,2007,34.4,18.4,184.0,3325.0
15,Adelie,Torgersen,male,2007,46.0,21.5,194.0,4200.0
16,Adelie,Biscoe,female,2007,37.8,18.3,174.0,3400.0
17,Adelie,Biscoe,male,2007,37.7,18.7,180.0,3600.0
18,Adelie,Biscoe,female,2007,35.9,19.2,189.0,3800.0
19,Adelie,Biscoe,male,2007,38.2,18.1,185.0,3950.0
20,Adelie,Biscoe,male,2007,38.8,17.2,180.0,3800.0
21,Adelie,Biscoe,female,2007,35.3,18.9,187.0,3800.0
22,Adelie,Biscoe,male,2007,40.6,18.6,183.0,3550.0
23,Adelie,Biscoe,female,2007,40.5,17.9,187.0,3200.0
24,Adelie,Biscoe,female,2007,37.9,18.6,172.0,3150.0
25,Adelie,Biscoe,male,2007,40.5,18.9,180.0,3950.0
26,Adelie,Dream,female,2007,39.5,16.7,178.0,3250.0
27,Adelie,Dream,male,2007,37.2,18.1,178.0,3900.0
28,Adelie,Dream,female,2007,39.5,17.8,188.0,3300.0
29,Adelie,Dream,male,2007,40.9,18.9,184.0,3900.0
30,Adelie,Dream,female,2007,36.4,17.0,195.0,3325.0
31,Adelie,Dream,male,2007,39.2,21.1,196.0,4150.0
32,Adelie,Dream,male,2007,38.8,20.0,190.0,3950.0
33,Adelie,Dream,female,2007,42.2,18.5,180.0,3550.0
34,Adelie,Dream,female,2007,37.6,19.3,181.0,3300.0
35,Adelie,Dream,male,2007,39.8,19.1,184.0,4650.0
36,Adelie,Dream,female,2007,36.5,18.0,182.0,3150.0
37,Adelie,Dream,male,2007,40.8,18.4,195.0,3900.0
38,Adelie,Dream,female,2007,36.0,18.5,186.0,3100.0
39,Adelie,Dream,male,2007,44.1,19.7,196.0,4400.0
40,Adelie,Dream,female,2007,37.0,16.9,185.0,3000.0
41,Adelie,Dream,male,2007,39.6,18.8,190.0,4600.0
42,Adelie,Dream,male,2007,41.1,19.0,182.0,3425.0
43,Adelie,Dream,female,2007,36.0,17.9,190.0,3450.0
44,Adelie,Dream,male,2007,42.3,21.2,191.0,4150.0
45,Adelie,Biscoe,female,2008,39.6,17.7,186.0,3500.0
46,Adelie,Biscoe,male,2008,40.1,18.9,188.0,4300.0
47,Adelie,Biscoe,female,2008,35.0,17.9,190.0,3450.0
48,Adelie,Biscoe,male,2008,42.0,19.5,200.0,4050.0
49,Adelie,Biscoe,female,2008,34.5,18.1,187.0,2900.0
50,Adelie,Biscoe,male,2008,41.4,18.6,191.0,3700.0
51,Adelie,Biscoe,female,2008,39.0,17.5,186.0,3550.0
52,Adelie,Biscoe,male,2008,40.6,18.8,193.0,3800.0
53,Adelie,Biscoe,female,2008,36.5,16.6,181.0,2850.0
54,Adelie,Biscoe,male,2008,37.6,19.1,194.0,3750.0
55,Adelie,Biscoe,female,2008,35.7,16.9,185.0,3150.0
56,Adelie,Biscoe,male,2008,41.3,21.1,195.0,4400.0
57,Adelie,Biscoe,female,2008,37.6,17.0,185.0,3600.0
58,Adelie,Biscoe,male,2008,41.1,18.2,192.0,4050.0
